
2024/01/04 (21:53:14) | ===> btop++ v.1.2.13
2024/01/04 (21:53:14) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/05 (10:44:39) | ===> btop++ v.1.2.13
2024/01/05 (10:44:39) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/01/15 (19:26:13) | ===> btop++ v.1.2.13
2024/01/15 (19:26:13) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/13 (09:24:00) | ===> btop++ v.1.2.13
2024/02/13 (09:24:00) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/03/11 (16:14:35) | ===> btop++ v.1.2.13
2024/03/11 (16:14:35) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/03/11 (16:34:02) | ===> btop++ v.1.2.13
2024/03/11 (16:34:02) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/03/14 (16:51:24) | ===> btop++ v.1.2.13
2024/03/14 (16:51:24) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/03/19 (15:17:09) | ===> btop++ v.1.2.13
2024/03/19 (15:17:09) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/03/22 (13:43:23) | ===> btop++ v.1.2.13
2024/03/22 (13:43:23) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/04/01 (11:39:35) | ===> btop++ v.1.2.13
2024/04/01 (11:39:35) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
